Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet 
hakan kaya,@hakankk1453,,,,"Tüik  hükümete  asgari ücret  önermiş   

2500   

Bir ay size  verelim  bu maaşı bakalım nasıl  oluyor"
@Seyfullah,@KavakliSeyfo,,,,#artikolsun insanca yasam için asgari ücret yetinilebilir halde olsun
Betüş,@tostikveben,2,,5,"Bugün bir avukat , bir başka avukat yanında çalışsa 1.500₺ alıyor. Asgari ücret dahi değil."
elliff,@ogganelif83,,,,Peki o zaman asgari ücret neden hala 2.700tl hayat neden bukadar pahalı bu ülkede insanlar asgari ücretle refah içinde yaşayabilir mi? Siz hiç bu parayla bir ay geçindiniz mi?bu kaynaklar bulunuyorsa ve halkın yararına kullanılmayacaksa neyine sevinelim?
Ziyaa Başdöndüren,@ZBasdonduren,2,,2,"Bunu yapan şahsı hapse atmak lazım. Gerçi adalet yok demi #OlmasıGereken #SkandallarPartisi #skandal #AsgariÜcret #sınavagelmiyorum #ziyaselcuk #Atamİzindeyiz #rezilrüsvayız
#rezilrüsvayız heşteki paylaşalım lütfen"
efeler,@zebrarot,,,,"Asgari ücret 10.000 olsa
Ekmek 50 TL olur anında:)
Yine aynı değşen bişi olmaz"
Murat,@LlYoursbay,1,,,Hocam asgari ücret için yeterli teklifler demiyorum ama siz hangi markette 37 liraya yumurta gördünüz aceba yada kaç kere 37 liraya aldınız yumurtayı?
June73,@EquilibriumPnt,,,,#ÜlkemizinGerçekleri açlık sınırının altında bir asgari ücret ama hala en karamsar ankette toplam %45 oy alan bir iktidar.
Devrim Gazete,@devrimgzt,,2,11,"TÜİK’in ağır işlerde çalışan işçiler için asgari ücret önerisi: 2 bin 792 lira
https://devrimgazete.com/tuikin-agir-islerde-calisan-isciler-icin-asgari-ucret-onerisi-2-bin-792-lira/…"
Coşkun,@percem4,,,,Neyi neye göre hesaplıyorsunuz da bu fiyat çıkıyor vermeyin daha iyi  #asgariuecret
Onur YENİCE,@addonur81,,,,"TÜİK gerçekleri açıklamayan , hükümet emrinde bir kurum. Türk-İş başkanı da geçmişte asgari ücret görüşmelerinden bildiğimiz biri. Emekçiye buralardan güzel bir haber gelmesini zaten beklemiyoruz."
Alp,@AlpSirman,1,4,14,"""Meclis tutanaklarına da geçti: Ekmeğimizle kelimenin tam anlamıyla oynuyorlar. Muhtaç bir toplum yaratmaya çalışıyorlar. Asgari ücret tartışmalarının özeti budur"" denildi."
Tarık Çapçı,@tarikcapci,,,,"Burak şöyle anlatayım. Asgari ücret 5 bin olursa, Sen 2 elemanına fazladan her ay 5 bin ödeyeceksin; ama 2 kat fazla maaş alacak binlerce kişi sayesinde şu an yaptığının 2 katı iş yapacaksın. Yani 5 bin fazladan maaş; 50-100 bin fazladan kar "
MollaOsmanoğlu,@fbybmsb,,,1,Asgari ücret 3000 TL den aşağı olmamalı
Emre Aktaş,@EmreAktasss,,,,"Daha önce açıklanan rakamlara göre;
4 kişilik bir ailenin açlık sınırı 2.500 TL.
TÜİK'in açıkladığı ortalama asgari ücret 2.500 TL.
Yani ""kuru ekmek yiyen aç değildir"" diyenin zihniyeti TÜİK'in raporuna da yansımış.
Kimsenin ahı kimsede kalmaz."
Ahmet Çetin,@ahmtctnesenler,,,,#ArtıkOlsun Asgari Ücret Ne.kadar Yükselirse a dan z ye.Bütün Herşeye 2 Kati Zam Geliyor Son 3 Yıllık Asgari Artışı Ve Zamlara Bakarsanız Ne Demek İstediğimi Anlarsınız.
Bilal KULA,@BilalKULA,,,,1-Vekil sayıları azaltısın hükümetin özellikle keyfi harcamaları kesilsin.yandaş firmalara verilen teşvikler ihaleler vergi adları kesilsin.özel sektörün devlete verdiği SGK vergileri azaltıldı.20 kişinin çalışabileceği yerde 50 kişi çalışan memurların maaşı asgari ücret olsun
#OTİZM İZMİR ,@Huseyin3545gul,,,1,#ÜlkemizinGerçekleri tuik in  #asgariuecret komisyonuna hafi is yapanlara 2300 ağır iş yapanlara 2792 tl yeter demesi!ydi sn @KucukkayaIsmail yani birilerinin #kuruekmekbütçesi 2021 sürümü vizyonda!
Turizm İşçileri Dayanışması,@TurizmIscileriD,,6,9,"TÜİK'in açıklaması ile birlikte asgari ücret üzerine düşüncelerimiz ektedir.

#AsgariÜcretleGeçinemiyoruz"
çığbabası,@goksudaghan86,,,,"Asgari ücretle artık tavuk döneri çift lavaş yiyebilirsiniz.
#MilletBıktı
#asgariuecret"
Arnavut Selim,@SelimAkmen,3,5,51,"Asgari ücret zammı daha belirlenemeden, gıdaya kurban gitti."
ceren #33,@cernjk,1,,1,Asgari ücret+yol ve yemeğe oldum bülüon mu
Özgür Gelecek,@ozgur__gelecek,,4,,"EMEK | Bütçe’nin Sahibi Sermayenin Kendisidir!
#buetcedenziraate7500
#asgariuecret
http://bit.ly/2WBwvIv"
Kurtuluş ŞUR,@kruusr,,,,Asgari ücret tespit ve pazarlığı başladı. Ne gerek var bu kadar Pazarlığa motorin 2 TL'YE düşürün kimse hiçbir şey istemezler bu kadar basit
Emine Ataç #KRALİÇE#,@EmineAta16,,,,Lafa gelince din iman söylemleriyle mangalda kül bırakmayanlar haktan hukuktan bahsedenler asgari ücret söz konusu olunca hakkı hukuku unutuyor hangi dinde hangi kitapta var zenginin daha zengin fakirin daha fakir olması #kimietiketyapayım ki #herkesaynı #çıksınmazlumun #ahı....
osman gündüz karakayalı,@birsahil,,,,"Asgari ücreti verirken kırk dereden su getiriyoruz #Ülkemizingerçekleri böyle demiyor bunu görmeliyiz. Emekli maaşı hani asgari ücret olacaktı.
#AsgariÜcretleGecinemiyoruz
#Emeklimaaşi
@ZehraZumrutS
@Akparti
@MhpTbmmGrubu"
Caner Uluç,@caneruluc,1,,,TÜİK'in verdiği veriler ne kadar doğru ki bence asgari ücret üzerinde etki yapmaya çalışıyor aşağı fiyat vererek 
Sevilay Karapınar,@yakamoozum,,,1,Asgari Ücret
Ersöz,@Ersinzyrek1,,,1,Aynen geçen sene asgari ücret belirlendiğinde masadan kalkıp gittiler sonra dediler ki bizim elimiz kolumuz bağlı hepsi koltuk derdinde işçiyi düşünen yok cepleri dolsun yeter.
KEMAL,@Kemal19_80,,,,"Zenginlerin toplanıp bizim gibi asgari ücretle çalışan kişilerin gelecegi için bir türlü karar veremeyip hakkimizi vermeyen ve yiyen şeye adaletsizlik denir.
#asgariücret"
A Haber,@Ahaber,5,1,14,"Asgari ücret ne kadar olacak?
http://ahaber.im/wcv39j_smt"
Zeki,@Zeki47806566,,,,Yav burada zam taraması yapacağına gıda temizlik firmalarının her yıl asgari ücret zammını engelleyin yoksa zam işveren e yükten başka birşey değil
Özgür Gelecek,@ozgur__gelecek,1,7,5,"İZMİR | İzmir'de Partizan, Kaldıraç, BDSP, TÖP, EİB, Ekmek ve Onur ve ESP  ""İnsanca yaşanabilir, vergiden muaf asgari ücret için örgütlenmeye, mücadeleye"" şiarıyla yapacağı ortak açıklamaya  çağrı yaptı.
Tarih: 25 Aralık
Saat: 18.00
Yer: Karşıyaka Vapur İskelesi  İşbankası önü"
OYA GÜNDAŞ GÜNGÖR,@OYAGUN,,,2,#ÜlkemizinGerçekleri kıymanın kilosunun 52 TL olduğu yerde asgari ücret in 2.300 lira olması
Kaju,@KajuMadonna38,,,,"#asgariücret 
Beklentim ;
2023 seçimine kadar iyi bir zam yapmıyacaklar 
bizi yine  oyalıyacaklar 
Alıştık artık demek enayilikdir....
Bizi enayi yerine koymayın...
Herkesin Çoluğa çocuğu var...
Biz onlar için YAŞIYORUZ....
öyle değil mi ey Yüce Türk Milleti...."
salim guler,@technicalsalim,,,1,Tamam %10 da anlaşsınlar yormayalim arkadaşları da boşuna komisyonu falan da kaldırın her sene cb maaşının %10 u asgari ücret dağılalım
Caner AKKOÇ,@canerakkoc,,,,Miktarı önemli değil ederi önemli hiç zam yapmasınlar sadece asgari ücret üzerindeki vergiyi yarıya indirsin yeterli
aespa' giselle,@8amourr,1,8,45,"251 can kaybı
Koca: Aile içi bulaşmalarda artış var
AİHM: Demirtaş serbest bırakılmalı
Ö. Çelik: Hukuk değerlendirecek
Kılıçdaroğlu ve Akşener'den bütçe eleştirisi
TÜİK'ten asgari ücret önerisi: 2 bin 507 lira 70 kuruş
MEB'in yüz yüze sınav açıklamasına tepki: #sınavagelmiyorum"
Sosyal Tv,@Sosyal_Tv_,,2,10,"Çerkezoğlu:TÜİK’in verisi 3 bin 800 lira’yı teyit etti

TÜİK’in2 bin 792 lira10 kuruş asgari ücret önerisini değerlendiren DİSK Başkanı Arzu Çerkezoğlu Bu Rakamın tek işçi için açıklandığını aileyle Birlikte düşünüldüğünde kendilerinin istediği 3Bin 800 liranın teyitEdilmiş oldu"
Rabiademir,@RJaleDemir,,1,2,#asgariücret açıklandı şimdi gözümüz zamlarda 
aespa' giselle,@8amourr,1,8,45,"251 can kaybı
Koca: Aile içi bulaşmalarda artış var
AİHM: Demirtaş serbest bırakılmalı
Ö. Çelik: Hukuk değerlendirecek
Kılıçdaroğlu ve Akşener'den bütçe eleştirisi
TÜİK'ten asgari ücret önerisi: 2 bin 507 lira 70 kuruş
MEB'in yüz yüze sınav açıklamasına tepki: #sınavagelmiyorum"
Sosyal Tv,@Sosyal_Tv_,,2,10,"Çerkezoğlu:TÜİK’in verisi 3 bin 800 lira’yı teyit etti

TÜİK’in2 bin 792 lira10 kuruş asgari ücret önerisini değerlendiren DİSK Başkanı Arzu Çerkezoğlu Bu Rakamın tek işçi için açıklandığını aileyle Birlikte düşünüldüğünde kendilerinin istediği 3Bin 800 liranın teyitEdilmiş oldu"
Rabiademir,@RJaleDemir,,1,2,#asgariücret açıklandı şimdi gözümüz zamlarda 
Narin Ney,@ney_narin,,,1,"En az 5000 olmalı.
#asgariücret"
xherry,@tampeachfucker,,,1,Asgari ücret bile çok dedirtiyor
Okan Işık,@okan8138,,,2,"4 kişinin asgari ücret aldığı bir haneye toplamda 60 TL gibi bir zam.. hangi ülkede var böyle refah be kardeşim. Almanya kaç yüz milyar dolar ayırmış vatandaşına , ama olur mu onlar müslüman değil. Yetiyor çok şükür elhamdülillah (!) #birliktebasaramayacağız"
Ahmet Kaya,@A_h_m_e_t_KAYA,,1,5,"Sütün litresi 7,90 TL’ye, tereyağın kilosu ise 69,95 TL’ye yükseldi.
Yağ 85-90 TL

Asgari ücret 10 bin TL olsa yine yetmez...

ERKEN SEÇİM ZORUNLULUKTUR!"
Güçlü Mete,@Guclumete,14,9,123,"251 can kaybı
Koca: Aile içi bulaşmalarda artış var
AİHM: Demirtaş serbest bırakılmalı
Ö. Çelik: Hukuk değerlendirecek
Kılıçdaroğlu ve Akşener'den bütçe eleştirisi
TÜİK'ten asgari ücret önerisi: 2 bin 507 lira 70 kuruş
MEB'in yüz yüze sınav açıklamasına tepki: #sınavagelmiyorum"
𝓗𝓾𝓼𝓮𝔂𝓲𝓷,@honeybee__35,1,,1,"Her sene aynı tiplerin asgari ücret pazarlıklarını görüyoruz.
Neyse bişey demiyecem"
Kaju,@KajuMadonna38,,,,"#asgariücret
beğenmediğimiz elin gavuru 
huzurlu dertsizdir 
Borcsuz cebinde euro ile yaşarken 
Biz niye bunların tam tersiyle 
Uğraşıyoruz 
Bu ne bize ne de bizi bu duruma getirenlere yakışır 
Müslüman müslümana eziyet etmez diye ayet vardı demi
Öyle değilmi ey Yüce Türk Milleti"
Necdet Yıldırım (?),@necdetyldrm86,,,,"Ya arkadaş birazda hayattan bahsedelim. Asgari ücret tamam yükselsin de, bana kalırsa çok yükselmesin önemli değil 2500 tl sabitlensin ve temel gıda ve akaryakıtı düşürün. İnsaf kardeşim bazı şeylerin önünü alın. Ocak'ta 35-40 lira olan çiçek yağı şimdi 75-80 lira."
Cemal inceyer,@InceyerCemal,,,,@dunbuguntrt Asgari ücret belirleme maçından yine gol sesi http://çıkmadı.Maçı boşuna uzatmaya http://götürmesinler.Mağlup olan Asgari ücretli olacak.İyi yayınlar.
Üseyin  Emekli maaşına el konan,@Usyinn,,2,1,"Tunus'a beş milyon #dolar kendi milletine açlık sınırı altında 2700 TL.

Keşke Tunus'a 5 milyon TL verip kendi emekçisine 2700 #dolar verselerdi!

#asgariücret
#EmeklilikteYaşaTakılanIar
#2020ninKaybedeni
#CengizHolding
#kulhakkı
#huzurhakkı
#COVID19
#COVID20
#SahteDiploma"
nirengi,@06Nirengi,,,11,"TÜİK’in 2 bin 792 liralık asgari ücret önerisi:
Bu tutarla bir asgari ücretlinin günde 7,14 lirayla karnını doyurması, ayda 872 lirayla barınması ve ısınması, bir buzdolabı için 77 ay çalışması, çocuğunu ayda 12 lirayla okutması gerekiyor..Günde, 7 lira ile doymak..!"
5ercanersan5,@5ercanersan5,,,,"#asgariuecret Asgari ücreti belirlemek için bu kadar çaba, toplantı niye aklım hafsalam almıyor. Diyanet İşleri Başkanlığının en son belirlediği fitre tutarını 4 kişilik bir aile için hesaplayın olsun bitsin. Hani müslümanız ya, 27*4=108TL günlük rakam bu aylığını siz hesaplayın."
okan özü,@okanozu,,,1,Sizin vereceğiniz zammın ben aq #asgariücret
Serkan Aydoğar,@Quaresmaserkan,,1,9,"Tüik asgari ücrete zam önerisi yapmıştır 
#asgariücret"
Ahmet.,@Ahmet77884080,,,,Türk-İş'ten asgari ücret açıklaması: ''TÜİK'in belirlediği rakam ülke gerçeklerini yansıtmıyor'' haberi- Son Dakika Haberleri
Bursa Hayat Gazetesi,@bursahayatcomtr,,,,"2021 AGİ ücreti hesaplandı! Asgari ücret önerisi kabul görürse...

Haberi oku -->> https://bursahayat.com.tr/haber/2021-agi-ucreti-hesaplandi-asgari-ucret-onerisi-kabul-gorurse-273224.html…"
Musa,@Musa42121,,,,Asgari ücret 2792 lira değil.insanları yaniltmayin.
ARZU ONAY,@KeciCafeUrla,,,,"@KucukkayaIsmail
#ulkemizingercekleri
#ülkemizingerçekleri
Günaydın İsmail bey, Asgari ücret!! Sgk primlerim yüksek ödendi ama emekli maaşım asgari ücrete yakın.1500 TL alan emekli var. Yaşlının paraya daha çok ihtiyacı var. Üretim yok para da yok. bir kısır döngüye girdi ülke."
Kaju,@KajuMadonna38,,,,"#asgariücret 
Biz millet olarak ;
Kredi kartı borcumuz olduğunu ,
Kredi borcu olduğumuzu ,
Fakir olduğumuzu ,
Gururlu bir millet olduğumuz için 
 (Etrafta )dile getiremeyiz 
Lütfen bu ( zaafimizdan ) faydalanmayın ........
Öyle değilmi ey Yüce Türk Milleti"
Namık Yıldırım,@namik62,,,,"Pek çok emeklinin asgari ücret kadar bile maaş almaması.
Devletin en düşük kriter olarak ele aldığı asgari ücretin emeklilere de yansıtılması gerekir #ÜlkemizinGerçekleri"
RabiaKaraca,@Rabia_Karaca_,,1,4,#asgariücret
Pervin,@ucck___prnnn___,,1,2,"TUİK'ten asgari ücret önerisi geldi 2.792 Lira.

Merak Etmeyin  Asrın Lideri devreye girer ben vatandaşımın  Çıkarını düşündüm der Şak 2800  TL' yapar.

Yaklaşık 8 TL bir katkısı olur.onuda IBAN numarası vererek vatandaştan geri ister.. #MilletBıktı Bu tiyatrodan.. #Asgariücret"
berat şahin kaplan,@ErnestoBerat,,,," Sefalet ücretine hayır! 
 İnsan onuruna yaraşır #asgariücret istiyoruz! #devyapıiş"
Fleur Salome,@nurrrrsu,,,,"Günaydın @KucukkayaIsmail . Bir tarafta  asgari ücret ile geçinmeye  çalışanlara verilen komik  ücret diğer  tarafta  yeni yılda dolup taşan  otel rezervasyonları.. Parası olana Yılbaşı  yasağı yok , parası  olmayana  evden çıkmak  yok.. #ÜlkemizinGerçekleri"
Mgobl,@Mgobl1,,,,Kemal Kılıçdaroğlu nu eleştiren kafalar 2324 TL mübahtır size adam yurtdışından getirilen paralara hesap sorulmuyor vergisi bile alınmıyor ama asgari ücret alana hopp o paranın vergisi nerde demeden daha eline geçmeden tahsilatı yapılıyor diyiyor yinede yaranamiyor helal size
TEKGIDA-İŞ SENDİKASI,@tekgida,,22,42,"#TÜİK ‘2792’ DEDİ
#Asgariücret in 2 bin 700 TL ile 2 bin 800 TL arasında bir rakam olması bekleniyor. Ücretin 2 bin 800 TL olabileceği tahminleri de yapılıyor. Türk-İş ise bu rakamı kabul etmiyor.
https://tekgida.org.tr/tuik-2792-dedi-52576/…"
Kertenkelek,@Kertenkelek10,,,,Zincirlerinden başka kaybedecek hiçbirşeyin yok senin! #asgariücret
:',@yavuzjpg,1,,5,Asgari ücret + sigorta verseler kuzma dan daha çok iş yaparım gibi
Üseyin  Emekli maaşına el konan,@Usyinn,,3,1,"Hadi gözümüz aydın.
Güçlendirilmiş parlamenter sistem ile yeni koalisyonlar ve erken seçim geliyor!

#EmeklilikteYaşaTakılanlar
#CengizHolding
#dolar
#asgariücret
#enflasyon
#işsizlik
#işveaş
#2020ninKaybedeni
#MilletBıktı
#COVID19
#COVID20
#huzurhakkı
#kulhakkı
#ALTIN"
Ismail K.OGLU,@Parafin0,,,,Asgari ücret tekliflerini duyunca yaşamak zoruma gidiyor
Rahmi Koçak,@RahmiKocak,,,1,"Kötü olan şey asgari ücret tartışması değil, 39 tl ücrete isyan etmeyen insan kitlesidir."
Ümran_svslgl,@mranSivasliogl1,,,,ülke de %45 asgari ücretli çalışan varken ve bu ücret 2300 TL iken etin kilosu dan tut herşey ateş pahalısı ve sorumlu bakanlıklardan birinin söylediğine bak gerçekten bunlar nasıl bakan olabiliyor hesap kitap okuma yazması yokmu en önemlisi vicdan yoksunu millet ne halde
Atatürk'ün yolunda,@MKAdaima,1,4,48,"Raks edirdin, Fas'a, Irak'a para yolliyirdin. Sıra asgariücret'e gelince gorbagor oldun! . Hani ekonomi pik yapirdi!."
Kaju,@KajuMadonna38,,,,"#asgariücret 
Ben sırayla ,
Başbakan 
Cumhurbaşkanı 
Başkan olsam; 
Beni bu vasıflara getiren halkıma boynumun borcu deyip başta; 
Asgari ücretliye
Emekliye 
Memura 
Polise Askere vb maaşlarına 
% 50 zam yapmak için kanun çıkartırım....
öyle değilmi ey Yüce Türk Milleti"
Ergün,@ergun_koz,,,,"Türkiye ye giren paraya mı engel olacaksınız, asgari ücret ten vergileri mi kaldıracaksınız?..."
gazete muz,@GazeteMuz,,,6,Belirlenecek yeni asgari ücret ülkede milyonlarca kişiyi cennete iyice yakınlaştıracak gibi görünüyor.
Tuğrul Demiray,@tugrul_demiray,,,,Açlık sınırı adaletin de sınırıdır. Adaletli bir asgari ücret belirlenmesi ülkemizdeki adaletin durumunu göstermesi bakımından ülkemizin gerçeğidir#ÜlkemizinGerçekleri
Tolga Osmanlı ,@Tolga8573453,,,1,asgari ücretin artmasını beklemek aşırı mantıksız. Şeri nizam ekonomiye sirayet etmedikçe ekonomide düzelme olmaz. Faizi defedip zekatları tastamam verip birde gavurdan cizye alırsak işte o zaman asgari ücret diye birşeyin bile olacağını sanmıyorum herkes fazla fazla kazanır
Arzu A. Çerkezoğlu,@ArzuCerkezoglu,4,37,175," Sefalet ücretine hayır! 
 İnsan onuruna yaraşır #asgariücret istiyoruz!

Bugün saat 12.30'da Tophane'deki
Bölge Çalışma Müdürlüğü önündeyiz!.."
sivas'lılar da üşür,@yukarioba58,,,,"Verecekleri 3 kuruş zam onu da masada pazarlıkla veriyorlar.

#asgariÜcret"
fatih,@Serkansaraolu14,,,,Dünyada halk'indan bu kadar kopuk bir hükumet ve yönetim şekli yoktur. Asgari ücret diye verdiğiniz 2300 TL para normal duzeyde bir konutun aylık kirası. Ama sorarsan gecekonduyu gösterirler.
Eray Vural,@erayvural99,,,,Çünkü TÜSiAD sahipleri asgari ücret bazında işçi çalıştırıyor işlerine gelmediği için olabilir mi?
Neslihan Köroğlu,@NesliKoroglu,,,5,"TÜİK: Asgari Ücret Artış Oranını Biz Belirlemiyoruz
https://foreks.com/haberDetay?id=5fe2cb1cdc0e820001eec3d7…"
sivas'lılar da üşür,@yukarioba58,,,,"Verecekleri 3 kuruş zam onu da masada pazarlıkla veriyorlar.

#asgariÜcret"
fatih,@Serkansaraolu14,,,,Dünyada halk'indan bu kadar kopuk bir hükumet ve yönetim şekli yoktur. Asgari ücret diye verdiğiniz 2300 TL para normal duzeyde bir konutun aylık kirası. Ama sorarsan gecekonduyu gösterirler.
Eray Vural,@erayvural99,,,,Çünkü TÜSiAD sahipleri asgari ücret bazında işçi çalıştırıyor işlerine gelmediği için olabilir mi?
Neslihan Köroğlu,@NesliKoroglu,,,5,"TÜİK: Asgari Ücret Artış Oranını Biz Belirlemiyoruz
https://foreks.com/haberDetay?id=5fe2cb1cdc0e820001eec3d7…"
Yusuf Riza,@YusufRiza3,,,,Asgari ücret gıda enflasyonu oranında artırılmalıdır. Çünkü asgari ücretle çalışan insanlar ancak karnını doyurabiliyor. Gıda enflasyonuda %60 yanı asgari ücretin en az 3700 lira olması lazım.
polâtt2,@ppollatt2,,,2,"Asgari ücret 5000 olsa ev kiraları da aynı oranda artar.marketler aynı oranda zam yapar.degisen hiç bir şey olmaz.
Asgari ücretten vergi yükü kaldırılsın çalışana verilsin...
Zam yapılmasın.
Ssk primi ucuzlasın işveren rahatlasın
Yasaklar kaldırılsın..."
06 Express Haber,@06expreshaber,,,2,"""Allah'ım zorlaştırma, kolaylaştır. Yapacağımız işleri hayr ile sonuçlandır.""

Sabahınız hayr olsun inşaAllah.!

#guenaydınlar
#HayirliSabahlar
#asgariuecret
#carsamba
#Dua"
Kaju,@KajuMadonna38,,,,"#asgariücret 
Bekar biri için 3000 
Evli biri için     4000
Evli bir çocuklu 4500
Evli iki çocuklu 5000 
Olması gerekir 
Böyle bir yasa Avrupadan daha iyi durumdayız diyen bir iktidardan beklenmelidir .... öyle değilmi ey Yüce Türk Milleti"
Tarafsız Doğrular,@dogrular_z,,,,Asgari ücret 10 bin olsun diyen yok sabit kalsın refah seviyesi artsın et fiyatlarına indirim gelsin  fiyatı artmasın yumursa sabit kalsın 30 lira olmasın bir eleştiri gelince hemen körü körüne savunmayın biraz mantıklı düşününki bu hükümet doğrumu iş yapıyor.
Medya63,@capmedya,,1,,"Asgari ücret nekadar oldu? Asgari ücret açıklandı mı, ne zaman açıklanacak? 4. toplantı ne zaman?"
Mustafa Cekuc,@CekucMustafa,,,1,Dünya’da asgari ücret saat bazında en düşük olan ülkeyiz (40 saat üzerinden $1.90) bir saat calışmayla ne alınır merak ediyoum.
Tolerans,@Tolerans7,,1,1,Tüik halkı gerizekalı yerine koyuyorken hükkümetimiz somali ve tunusa milyarca dolar veriyor oysaki o para asgari ücretliye gitse maaşların tüm kesintileri yok olur @dbdevletbahceli #asgariuecret #AsgariUEcret4000 @ikalin1 @fahrettinaltun @fuatoktay @Haberturk #carsamba
KORAY,@krykz,,,,#AsgariÜcret zammını #pandemi döneminde bile bir defa toplanarak belirleyemiyorlar. #ÜlkemizinGerçekleri
fikri_nin fikri 2  Vadi'deki Hayat,@fikrik591,,,,"#ÜlkemizinGerçekleri 'inden birisi hazinede para olmadığından ne Çin'den ne de Almanya'dan (Pfizer- BioNTech'in CEO’su Uğur Şahin'nin aşı hazır denesine rağmen) anlaşma yapamıyoruz. İşsizlik, pahalılık,asgari ücret.... saymakla bitmez.  Ülkem içler acısı."
Ademsenturan,@Ademsenturan1,,,1,#ÜlkemizinGerçekleri günaydın İsmail bey asgari ücret gelmeden eridi
Erkin Çam,@erkincam,,2,12,"Asgari ücret doğalgaza bağlansın. Doğalgaza kaç zam yapıldıysa bir yılda, maaşa da o kadar zam gelsin."
MUHAMMED EMİN TEKİN,@EMN_TKN,14,8,112,Asgari Ücret Net 3000 TL Olmalı.
Filiz,@filizdesiniz,,,1,Asgari ücret tahminim : 2634 tl
Muratcortuk,@Muratcortuk2,,,2,"Eyt, 3600 ek gösterge,asgari ücret,devleti yöneyenlere gelince bol kepçe,vatandaşa gelince yok.Yurt dışına gelince gene bol kepçe.#ÜlkemizinGerçekleri"
Yalçın Görgöz,@Yalcingg,,,1,"İktidarın asgari ücret önerisi; 
Ağır işte çalışan işçi için 2792 TL,
Orta ağırlıkta işte çalışan işçi için 2507 TL. 

Tekrarlıyoruz; 
2021 bütçesi, sarayın ve 5’li çetenin bütçesidir."
KRT TV,@krtkulturtv,,3,11,TÜİK'in asgari ücret önerisine işçiler tepkili
xx_dirty,@xx_dirtyX,1,,,"kadın zor durumdayım, pozisyon farketmez yazmış. adam da asgari ücret önermiş. burada bir sorun yok bence."
İlker Belek,@drilkerbelek,2,12,77,"TÜİK'in 2792 TL asgari ücret önerisini eleştirmek anlamsız.
Adı üzerinde; işçinin ölmeden üretimi devam ettirebilmesi, çocuklarını geleceğin asgari ücretlileri olarak yetiştirebilmesi için verilen asgari ücret.
Daha fazlası gelirin eşit paylaşımıyla, sosyalizmle mümkün."
hatice ay,@htceay,,1,,"geçen yıl 2323TL demiştim 2324.70TL olmuştu .
bu yıl tahminim 2723TL 
bu dursun bakalım burda.
#asgariücret"
Türkiye007,@Kutluay78710527,,,,Asgari ücret agi hariç 2.324 TL  bu rakamı bile insanlara vermiyorsunuz. Agi dahi yok. İnsanlar resmen kandırılıyor. TYP kapsamında alınan insanları asgarî ücretin bile aşağısında çalıştırıyorsunuz.Yazik çok yazık. Acaba bu durumdan sn Cumhurbaşkanımızın haberi varmı!
xx_dirty,@xx_dirtyX,1,,,"kadın zor durumdayım, pozisyon farketmez yazmış. adam da asgari ücret önermiş. burada bir sorun yok bence."
İlker Belek,@drilkerbelek,2,12,77,"TÜİK'in 2792 TL asgari ücret önerisini eleştirmek anlamsız.
Adı üzerinde; işçinin ölmeden üretimi devam ettirebilmesi, çocuklarını geleceğin asgari ücretlileri olarak yetiştirebilmesi için verilen asgari ücret.
Daha fazlası gelirin eşit paylaşımıyla, sosyalizmle mümkün."
hatice ay,@htceay,,1,,"geçen yıl 2323TL demiştim 2324.70TL olmuştu .
bu yıl tahminim 2723TL 
bu dursun bakalım burda.
#asgariücret"
Türkiye007,@Kutluay78710527,,,,Asgari ücret agi hariç 2.324 TL  bu rakamı bile insanlara vermiyorsunuz. Agi dahi yok. İnsanlar resmen kandırılıyor. TYP kapsamında alınan insanları asgarî ücretin bile aşağısında çalıştırıyorsunuz.Yazik çok yazık. Acaba bu durumdan sn Cumhurbaşkanımızın haberi varmı!
Cellat,@cellatallec,,,3,AMINA KODUMUN KOLPAZANLARI 8 LİRA DAHA KOYSAYDINIZDA DÜZ HESAP OLSAYDI PİÇ HESABINA DÖNDERMİŞİNİZ KENDİNİZ GİBİ 2792 NE MK #asgariücret
TEKGIDA-İŞ SENDİKASI,@tekgida,,19,47,"Brüt asgari ücretten genel olarak sigorta primi, gelir vergisi ve damga yergisi kesintileri yapılmaktadır.
https://tekgida.org.tr/asgari-ucret-ve-gelir-vergisi-52573/…
#asgariücret"
Uçan Davşan,@VKarabelli,,,,"Almanyada Asgari ücret 15.450 tl ,  cimrilik etme de 10 tane maskeye 15 euro ver artık.  Yada gel Türkiye'ye seni ssk lı yapalım. Maske 1 lira nedersin ? Maaş 246 euro ama..."
Sema Yüzügüldü,@YuzugulduSema,,,,"Asgari ücreti çoçuklarına ""harçlık"" diye verenler;
Çocuklarına ""harçlık"" bile veremiyenlerin alacağı Asgari ücreti  belirliyorlar..!

TÜİK başkanı Asgari ücret  alsın..."
Dr.GökhanACKA,@DGokhanacka,,,,Elektrik dayacının OKUMA BEDELİ 30 Tl olan memlekette 2.800 asgari ücret mi olur laa?
HIV Turkey,@HivTurkey,,,,Neden asgari ücret öneriniz 3.000 TL'larda öyleyse?
